,subject,age_group_x,roi,triplet,comparison,within_sim,across_sim,difference,trials,triplet_accuracy,avg_RT,avg_repetitions,age,sex,scanner
65,temple024,adult,sl-AB_group_hip,2,AB,-0.1095615048352745,0.3092677131829638,-0.4188292180182384,8,0.5,9.3869125,1.0,28.29,M,skyra
66,temple024,adult,sl-AB_group_hip,3,AB,0.2414832904301941,0.1898967640239859,0.0515865264062081,8,0.375,8.7178125,1.0,28.29,M,skyra
67,temple024,adult,sl-AB_group_hip,4,AB,0.1328148353700211,0.2960106135616194,-0.1631957781915982,8,0.375,9.4437125,1.0,28.29,M,skyra
68,temple024,adult,sl-AC_age_hip,1,AC,-0.1739958762964818,-0.1181234103796753,-0.0558724659168064,8,0.875,9.1821625,1.0,28.29,M,skyra
69,temple024,adult,sl-AC_age_hip,2,AC,0.429280960547389,-0.2692199241999967,0.6985008847473857,8,0.5,9.3869125,1.0,28.29,M,skyra
70,temple024,adult,sl-AC_age_hip,3,AC,0.2070477611285566,-0.0103739817729112,0.2174217429014678,8,0.375,8.7178125,1.0,28.29,M,skyra
71,temple024,adult,sl-AC_age_hip,4,AC,0.0194893435737085,-0.1131315427038948,0.1326208862776033,8,0.375,9.4437125,1.0,28.29,M,skyra
72,temple025,adult,sl-AB_age_gm,1,AB,0.1565647055533507,-0.0186699872896519,0.1752346928430027,8,1.0,7.9850625,1.0,28.94,F,skyra
73,temple025,adult,sl-AB_age_gm,2,AB,-0.0944697002636174,-0.0295614174046372,-0.0649082828589802,8,1.0,7.932575,1.0,28.94,F,skyra
74,temple025,adult,sl-AB_age_gm,3,AB,0.1262725700172771,0.0090826900314547,0.1171898799858223,8,1.0,7.8480375,1.0,28.94,F,skyra
75,temple025,adult,sl-AB_age_gm,4,AB,0.010210469360941,-0.0245849972040683,0.0347954665650093,8,1.0,7.8161625,1.0,28.94,F,skyra
76,temple025,adult,sl-AB_group_hip,1,AB,-0.0379198600194402,0.0880950120068456,-0.1260148720262859,8,1.0,7.9850625,1.0,28.94,F,skyra
77,temple025,adult,sl-AB_group_hip,2,AB,0.0346554125734194,0.1331739880679017,-0.0985185754944822,8,1.0,7.932575,1.0,28.94,F,skyra
78,temple025,adult,sl-AB_group_hip,3,AB,0.2007394239488402,-0.0569421210083106,0.2576815449571509,8,1.0,7.8480375,1.0,28.94,F,skyra
79,temple025,adult,sl-AB_group_hip,4,AB,-0.2954760463479062,0.098463453611091,-0.3939394999589972,8,1.0,7.8161625,1.0,28.94,F,skyra
80,temple025,adult,sl-AC_age_hip,1,AC,0.3155437037711909,0.1034559738414154,0.2120877299297755,8,1.0,7.9850625,1.0,28.94,F,skyra
81,temple025,adult,sl-AC_age_hip,2,AC,-0.1285601568724166,-0.0570035233274761,-0.0715566335449405,8,1.0,7.932575,1.0,28.94,F,skyra
82,temple025,adult,sl-AC_age_hip,3,AC,-0.161679560929793,-0.0307042454619788,-0.1309753154678141,8,1.0,7.8480375,1.0,28.94,F,skyra
83,temple025,adult,sl-AC_age_hip,4,AC,-0.1175959478260863,-0.0955385769893946,-0.0220573708366917,8,1.0,7.8161625,1.0,28.94,F,skyra
84,temple029,adolescent,sl-AB_age_gm,1,AB,-0.1289789296750126,-0.0350195934822836,-0.0939593361927289,8,1.0,9.5593,1.125,11.04,F,skyra
85,temple029,adolescent,sl-AB_age_gm,2,AB,-0.2049345063502362,-0.0119625852698708,-0.1929719210803654,8,1.0,8.8037625,1.25,11.04,F,skyra
86,temple029,adolescent,sl-AB_age_gm,3,AB,-0.0392819390188785,-0.0712109418479473,0.0319290028290688,8,0.625,8.78055,1.25,11.04,F,skyra
87,temple029,adolescent,sl-AB_age_gm,4,AB,0.0051755499530285,-0.0322306130051419,0.0374061629581705,8,1.0,8.740425,1.125,11.04,F,skyra
88,temple029,adolescent,sl-AB_group_hip,1,AB,0.2322363325749741,0.0655661714307668,0.1666701611442073,8,1.0,9.5593,1.125,11.04,F,skyra
89,temple029,adolescent,sl-AB_group_hip,2,AB,0.4216586011915713,0.0671460983072828,0.3545125028842884,8,1.0,8.8037625,1.25,11.04,F,skyra
90,temple029,adolescent,sl-AB_group_hip,3,AB,-0.1476842760539878,-0.0316081583737236,-0.1160761176802642,8,0.625,8.78055,1.25,11.04,F,skyra
91,temple029,adolescent,sl-AB_group_hip,4,AB,0.1449987658588625,0.145259204182376,-0.0002604383235135,8,1.0,8.740425,1.125,11.04,F,skyra
92,temple029,adolescent,sl-AC_age_hip,1,AC,0.17448158706272,0.164989494849214,0.0094920922135059,8,1.0,9.5593,1.125,11.04,F,skyra
93,temple029,adolescent,sl-AC_age_hip,2,AC,0.0647474444169831,0.0027684291582493,0.0619790152587337,8,1.0,8.8037625,1.25,11.04,F,skyra
94,temple029,adolescent,sl-AC_age_hip,3,AC,0.3660206950988129,0.1338104056161496,0.2322102894826632,8,0.625,8.78055,1.25,11.04,F,skyra
