,subject,triplet,trials,triplet_accuracy,avg_RT,avg_repetitions,age,accuracy,age_demeaned,acc_demeaned,sex,scanner,age_group
119,temple065,4,8,0.375,9.584675,1.0,9.45,0.4375,-4.93,-0.33056,F,prisma,7-9 years
120,temple066,1,8,0.5,8.372725,1.0,9.97,0.75,-4.41,-0.01806,F,prisma,7-9 years
121,temple066,2,8,0.625,8.2631875,1.0,9.97,0.75,-4.41,-0.01806,F,prisma,7-9 years
122,temple066,3,8,0.875,5.531325,1.0,9.97,0.75,-4.41,-0.01806,F,prisma,7-9 years
123,temple066,4,8,1.0,7.8515375,1.25,9.97,0.75,-4.41,-0.01806,F,prisma,7-9 years
124,temple068,1,8,0.75,9.0692375,1.125,9.76,0.625,-4.62,-0.14306,M,prisma,7-9 years
125,temple068,2,8,0.5,9.038725,1.5,9.76,0.625,-4.62,-0.14306,M,prisma,7-9 years
126,temple068,3,8,0.375,9.0053375,1.125,9.76,0.625,-4.62,-0.14306,M,prisma,7-9 years
127,temple068,4,8,0.875,9.8878125,1.125,9.76,0.625,-4.62,-0.14306,M,prisma,7-9 years
128,temple069,1,8,0.75,4.1190750000000005,1.0,9.67,0.5,-4.71,-0.26806,M,prisma,7-9 years
129,temple069,2,8,0.25,6.0968,1.125,9.67,0.5,-4.71,-0.26806,M,prisma,7-9 years
130,temple069,3,8,0.875,4.9677375,1.0,9.67,0.5,-4.71,-0.26806,M,prisma,7-9 years
131,temple069,4,8,0.125,5.0740125,1.0,9.67,0.5,-4.71,-0.26806,M,prisma,7-9 years
132,temple070,1,8,0.75,9.8027,1.125,7.47,0.5,-6.91,-0.26806,M,prisma,7-9 years
133,temple070,2,8,0.75,9.231575,1.0,7.47,0.5,-6.91,-0.26806,M,prisma,7-9 years
134,temple070,3,8,0.125,6.8125875,1.0,7.47,0.5,-6.91,-0.26806,M,prisma,7-9 years
135,temple070,4,8,0.375,7.9386875,1.25,7.47,0.5,-6.91,-0.26806,M,prisma,7-9 years
136,temple071,1,8,1.0,8.44405,1.0,27.31,1.0,12.93,0.23194,M,prisma,adults
137,temple071,2,8,1.0,9.2934625,1.25,27.31,1.0,12.93,0.23194,M,prisma,adults
138,temple071,3,8,1.0,8.7654875,1.125,27.31,1.0,12.93,0.23194,M,prisma,adults
139,temple071,4,8,1.0,9.3108125,1.0,27.31,1.0,12.93,0.23194,M,prisma,adults
140,temple072,1,8,0.625,11.308225,1.0,19.53,0.65625,5.15,-0.11181,F,prisma,adults
141,temple072,2,8,0.625,9.557825,1.25,19.53,0.65625,5.15,-0.11181,F,prisma,adults
142,temple072,3,8,0.5,9.84055,1.0,19.53,0.65625,5.15,-0.11181,F,prisma,adults
